,Datetime,Tweet Id,Username,Likes,Retweets,Text,token,tweet_tokens_WSW,tweet_tokens_stemmed
0,2023-03-14 12:56:41+00:00,1635625998061559810,SerbaDistro_ID,0,0,"Mau dapet komisi, buat tambahan uang jajan, buruan bro daftar jadi reseller kami, menguntungkan info BBM : 2BDA9992","['mau', 'dapet', 'komisi', 'buat', 'tambahan', 'uang', 'jajan', 'buruan', 'bro', 'daftar', 'jadi', 'reseller', 'kami', 'menguntungkan', 'info', 'bbm', 'bda']","['dapet', 'komisi', 'tambahan', 'uang', 'jajan', 'buruan', 'bro', 'daftar', 'reseller', 'menguntungkan', 'info', 'bbm', 'bda']","['dapet', 'komisi', 'tambah', 'uang', 'jajan', 'buru', 'bro', 'daftar', 'reseller', 'untung', 'info', 'bbm', 'bda']"
1,2023-03-14 12:56:15+00:00,1635625888959299584,admiin01_asuna,0,0,dongcaste Mau tampil keren dgn style anime kamu?? follow distroartonline SMS:081254533646 BBM:5268BA8F https://t.co/vaDpqFUxx8,"['dongcaste', 'mau', 'tampil', 'keren', 'dgn', 'style', 'anime', 'kamu', 'follow', 'distroartonline', 'sms', 'bbmbaf']","['dongcaste', 'tampil', 'keren', 'style', 'anime', 'follow', 'distroartonline', 'sms', 'bbmbaf']","['dongcaste', 'tampil', 'keren', 'style', 'anime', 'follow', 'distroartonline', 'sms', 'bbmbaf']"
2,2023-03-14 12:55:37+00:00,1635625733388374016,septiyo,0,0,"Website Profesional dengan Harga Terjangkau di https://t.co/ETG6W3qWy8 mulai dari 600 K, tunggu apa lagi minat hub 0813 5780 1509 BBM di 7FBAB03B","['website', 'profesional', 'dengan', 'harga', 'terjangkau', 'di', 'mulai', 'dari', 'tunggu', 'apa', 'lagi', 'minat', 'hub', 'bbm', 'di', 'fbabb']","['website', 'profesional', 'harga', 'terjangkau', 'tunggu', 'minat', 'hub', 'bbm', 'fbabb']","['website', 'profesional', 'harga', 'jangkau', 'tunggu', 'minat', 'hub', 'bbm', 'fbabb']"
3,2023-03-14 12:53:36+00:00,1635625222278885377,Mifaressel39,0,0,"Pernah kena jahil temen dulu pas SMP dia pasang status nama ni cowok di bbm, Aku pikir itu pacar barunya kan jadi aku ceng2in. Dianya cuma senyum2 gitu jadi aku percaya ehhh taunya 🙃","['pernah', 'kena', 'jahil', 'temen', 'dulu', 'pas', 'smp', 'dia', 'pasang', 'status', 'nama', 'ni', 'cowok', 'di', 'bbm', 'aku', 'pikir', 'itu', 'pacar', 'barunya', 'kan', 'jadi', 'aku', 'cengin', 'dianya', 'cuma', 'senyum', 'gitu', 'jadi', 'aku', 'percaya', 'ehhh', 'taunya']","['kena', 'jahil', 'temen', 'pas', 'smp', 'pasang', 'status', 'nama', 'ni', 'cowok', 'bbm', 'pikir', 'pacar', 'barunya', 'cengin', 'dianya', 'senyum', 'gitu', 'percaya', 'ehhh', 'taunya']","['kena', 'jahil', 'temen', 'pas', 'smp', 'pasang', 'status', 'nama', 'ni', 'cowok', 'bbm', 'pikir', 'pacar', 'baru', 'cengin', 'dia', 'senyum', 'gitu', 'percaya', 'ehhh', 'tau']"
4,2023-03-14 12:49:12+00:00,1635624116199002120,babesije,0,0,@horatio9797 @ZULFSW @misterjunker @punyae_cinta @tanyakanrl Dibakar juga butuh bbm mas e,"['cinta', 'dibakar', 'juga', 'butuh', 'bbm', 'mas']","['cinta', 'dibakar', 'butuh', 'bbm', 'mas']","['cinta', 'bakar', 'butuh', 'bbm', 'mas']"
5,2023-03-14 12:47:14+00:00,1635623622802034690,Anakkampuang5,0,0,"@Pencari_Rezeki @amandasah__ @KPK_RI @DivHumas_Polri @ListyoSigitP Prestasi ahok...
1.pertamina untung besar
2.tidak pernah yg nama nya depo terbakar
3. Harga bbm muraaahhh banget
4.jargon""TAIK""

konon katanya..🤣🤣🤣","['rezeki', 'ri', 'polri', 'prestasi', 'ahok', 'pertamina', 'untung', 'besar', 'tidak', 'pernah', 'yg', 'nama', 'nya', 'depo', 'terbakar', 'harga', 'bbm', 'muraaahhh', 'banget', 'jargontaik', 'konon', 'katanya']","['rezeki', 'ri', 'polri', 'prestasi', 'ahok', 'pertamina', 'untung', 'nama', 'depo', 'terbakar', 'harga', 'bbm', 'muraaahhh', 'banget', 'jargontaik', 'konon']","['rezeki', 'ri', 'polri', 'prestasi', 'ahok', 'pertamina', 'untung', 'nama', 'depo', 'bakar', 'harga', 'bbm', 'muraaahhh', 'banget', 'jargontaik', 'konon']"
6,2023-03-14 12:47:09+00:00,1635623601448837121,beritaja1,0,0,Pengamat K3: Buffer Zone terminal BBM lindungi masyarakat dari bahaya - BeritAja https://t.co/PLmLEfo5Jm,"['pengamat', 'buffer', 'zone', 'terminal', 'bbm', 'lindungi', 'masyarakat', 'dari', 'bahaya', 'beritaja']","['pengamat', 'buffer', 'zone', 'terminal', 'bbm', 'lindungi', 'masyarakat', 'bahaya', 'beritaja']","['amat', 'buffer', 'zone', 'terminal', 'bbm', 'lindung', 'masyarakat', 'bahaya', 'beritaja']"
7,2023-03-14 12:46:58+00:00,1635623556070645760,rsyuguji,0,0,@draaken bbm pak,"['bbm', 'pak']",['bbm'],['bbm']
8,2023-03-14 12:46:24+00:00,1635623413275578370,JatimPemprov,1,1,"Sobat Jatim, sudah tahu belum apa aja sih jenis-jenis BBM?
Atau tata cara terkini daftar subsidi di My Pertamina?
Yuk simak selengkapnya di infografik berikut.
@KhofifahIP @EmilDardak @kemkominfo @kempanrb https://t.co/zi3T1Hu5Sp","['sobat', 'jatim', 'sudah', 'tahu', 'belum', 'apa', 'aja', 'sih', 'jenisjenis', 'bbm', 'atau', 'tata', 'cara', 'terkini', 'daftar', 'subsidi', 'di', 'my', 'pertamina', 'yuk', 'simak', 'selengkapnya', 'di', 'infografik', 'berikut']","['sobat', 'jatim', 'jenisjenis', 'bbm', 'tata', 'terkini', 'daftar', 'subsidi', 'my', 'pertamina', 'yuk', 'simak', 'selengkapnya', 'infografik']","['sobat', 'jatim', 'jenisjenis', 'bbm', 'tata', 'kini', 'daftar', 'subsidi', 'my', 'pertamina', 'yuk', 'simak', 'lengkap', 'infografik']"
9,2023-03-14 12:45:14+00:00,1635623120332783616,winnershiv1,1,0,"@thedobbybackup2 @ShivSquad1 Fkt voting mhnje support nasto, khara support tya nanatr chalu hoto he kalat nahi Yana, mhnaun gayab hotata same bbm nantr zala Ani tyacha hype gela, aata pn gayab aahet Ani yetat te he ase fd division che tweet gheun 🤦🏻‍♀️ fkt roj bolayla bhetayla shiv pahije yana","['fkt', 'voting', 'mhnje', 'support', 'nasto', 'khara', 'support', 'tya', 'nanatr', 'chalu', 'hoto', 'he', 'kalat', 'nahi', 'yana', 'mhnaun', 'gayab', 'hotata', 'same', 'bbm', 'nantr', 'zala', 'ani', 'tyacha', 'hype', 'gela', 'aata', 'pn', 'gayab', 'aahet', 'ani', 'yetat', 'te', 'he', 'ase', 'fd', 'division', 'che', 'tweet', 'gheun', 'fkt', 'roj', 'bolayla', 'bhetayla', 'shiv', 'pahije', 'yana']","['fkt', 'voting', 'mhnje', 'support', 'nasto', 'khara', 'support', 'tya', 'nanatr', 'chalu', 'hoto', 'he', 'kalat', 'nahi', 'yana', 'mhnaun', 'gayab', 'hotata', 'same', 'bbm', 'nantr', 'zala', 'ani', 'tyacha', 'hype', 'gela', 'aata', 'pn', 'gayab', 'aahet', 'ani', 'yetat', 'te', 'he', 'ase', 'fd', 'division', 'che', 'tweet', 'gheun', 'fkt', 'roj', 'bolayla', 'bhetayla', 'shiv', 'pahije', 'yana']","['fkt', 'voting', 'mhnje', 'support', 'nasto', 'khara', 'support', 'tya', 'nanatr', 'chalu', 'hoto', 'he', 'kalat', 'nahi', 'yana', 'mhnaun', 'gayab', 'hotata', 'same', 'bbm', 'nantr', 'zala', 'ani', 'tyacha', 'hype', 'gela', 'aata', 'pn', 'gayab', 'aahet', 'ani', 'yetat', 'te', 'he', 'ase', 'fd', 'division', 'che', 'tweet', 'gheun', 'fkt', 'roj', 'bolayla', 'bhetayla', 'shiv', 'pahije', 'yana']"
10,2023-03-14 12:42:12+00:00,1635622354910064641,okezonenews,0,0,"Dirut Pertamina Ungkap Hasil Investigasi Kebakaran Depo BBM Plumpang, Bukan dari Tangki #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/PyYojABGZL","['dirut', 'pertamina', 'ungkap', 'hasil', 'investigasi', 'kebakaran', 'depo', 'bbm', 'plumpang', 'bukan', 'dari', 'tangki']","['dirut', 'pertamina', 'hasil', 'investigasi', 'kebakaran', 'depo', 'bbm', 'plumpang', 'tangki']","['dirut', 'pertamina', 'hasil', 'investigasi', 'bakar', 'depo', 'bbm', 'plumpang', 'tangki']"
